,author_id,author_id_new,conv_id_new,conversation_id,created_at,entities.mentions,id,id_new,in_reply_to_user_id,lang,public_metrics.like_count,public_metrics.quote_count,public_metrics.reply_count,public_metrics.retweet_count,referenced_tweets,reply_settings,source,text,users.created_at,users.description,users.id,users.name,users.public_metrics.followers_count,users.public_metrics.following_count,users.public_metrics.listed_count,users.public_metrics.tweet_count,users.username,users.verified
0,245714112,author_id: 245714112,coversation_id: 436936636073779200,436936636073779200,2014-02-21T21:07:28.000Z,"[{'start': 0, 'end': 8, 'username': 'MinPres', 'id': '155507136'}]",436970449793474560,id: 436970449793474560,155507136,nl,0,0,0,0,"[{'type': 'replied_to', 'id': '436936636073779200'}]",everyone,Twitter for Android,@MinPres heeft agatha christie  een mooi verhaal over... als je snachts wat hoort..tis in de biblio en  de butler heeft het niet gedaan.,2011-02-01T09:22:34.000Z,"Ik ben de eigenaar van Woef-it, een bedrijfje in homemade hondenkoekjes en hondendenkspellen. Dol op mijn honden, katten, man, kinderen en kleinkinderen",245714112,marian doddema - verhappen,100,331,1,2926,mariandoddema,False
1,208945967,author_id: 208945967,coversation_id: 436936636073779200,436936636073779200,2014-02-21T19:04:54.000Z,"[{'start': 0, 'end': 12, 'username': 'EWdeVlieger', 'id': '435167929'}]",436939606219845632,id: 436939606219845632,435167929,nl,0,0,0,0,"[{'type': 'replied_to', 'id': '436936840663543808'}]",everyone,Twitter for iPhone,@EWdeVlieger Waar was je woensdag? http://t.co/3CjnIgqTpv,2010-10-28T07:11:16.000Z,https://t.co/mJKMglml8D | https://t.co/ewX9IhQILE | https://t.co/JIqkRLKbqy | https://t.co/GM4IJrdXoN | https://t.co/1Fj5LcCHeJ,208945967,Crijn Janssen,1088,585,25,14075,CrijnJanssen,False
2,116410241,author_id: 116410241,coversation_id: 436936636073779200,436936636073779200,2014-02-21T19:02:56.000Z,"[{'start': 0, 'end': 8, 'username': 'MinPres', 'id': '155507136'}, {'start': 9, 'end': 23, 'username': 'David_Cameron', 'id': '103065157'}]",436939111451332608,id: 436939111451332608,155507136,en,0,0,0,0,"[{'type': 'replied_to', 'id': '436936636073779200'}]",everyone,Twitter Web Client,@MinPres @David_Cameron Historic place to be Prime-Minister,2010-02-22T10:27:15.000Z,"Defensor Monarchie , Oranje kijker.",116410241,Oscar Wenceslaus Meijer 👑,879,849,20,43816,OscarWenceslaus,False
