,author_id,author_id_new,conv_id_new,conversation_id,created_at,entities.mentions,id,id_new,in_reply_to_user_id,lang,public_metrics.like_count,public_metrics.quote_count,public_metrics.reply_count,public_metrics.retweet_count,referenced_tweets,reply_settings,source,text,users.created_at,users.description,users.id,users.name,users.public_metrics.followers_count,users.public_metrics.following_count,users.public_metrics.listed_count,users.public_metrics.tweet_count,users.username,users.verified
0,108127693,author_id: 108127693,coversation_id: 588016340646100992,588016340646100992,2016-01-06T00:56:46.000Z,"[{'start': 0, 'end': 8, 'username': 'IanKerr', 'id': '69269986'}, {'start': 9, 'end': 25, 'username': 'Solutionprovida', 'id': '45691745'}, {'start': 26, 'end': 40, 'username': 'WilliamJHague', 'id': '122994639'}]",684539069569830913,id: 684539069569830913,69269986,in,0,0,0,0,"[{'type': 'replied_to', 'id': '588023542123524096'}]",everyone,Twitter for Android,@IanKerr @Solutionprovida @WilliamJHague Kengate hagey ?,2010-01-24T23:24:37.000Z,My name is Bob ask if you want to know more,108127693,#IamRedLabourNotRedTory#BDS#ProPalestineProGaza,1771,814,22,50036,Labour_4_JC4PM,False
1,57006119,author_id: 57006119,coversation_id: 588016340646100992,588016340646100992,2015-04-15T13:05:08.000Z,"[{'start': 0, 'end': 8, 'username': 'IanKerr', 'id': '69269986'}, {'start': 9, 'end': 23, 'username': 'WilliamJHague', 'id': '122994639'}]",588327193073299456,id: 588327193073299456,57006119,en,0,0,0,0,"[{'type': 'replied_to', 'id': '588326648380055552'}]",everyone,Twitter Web Client,"@IanKerr @WilliamJHague Maybe we cud stop the ""NOT IN NATIONAL INTEREST"" and focus on kids getting justice.",2009-07-15T12:48:12.000Z,"“The further a society drifts from the truth, the more it will hate those who speak it.” George Orwell. #IFBAP  Active Master Mason and Christian",57006119,J Coghlan ❌,1261,1394,11,71365,The_Bat_Gotham,False
2,78083877,author_id: 78083877,coversation_id: 588016340646100992,588016340646100992,2015-04-14T20:52:17.000Z,"[{'start': 0, 'end': 14, 'username': 'WilliamJHague', 'id': '122994639'}]",588082370256965632,id: 588082370256965632,122994639,en,0,0,0,0,"[{'type': 'replied_to', 'id': '588016340646100992'}]",everyone,Twitter for Android,@WilliamJHague even#The Telegraph says #righttobuy is a nonsensical scheme which doesn't help those in need !,2009-09-28T18:28:13.000Z,internationalist,78083877,john,8,21,0,534,johnnyquah09,False
3,2982661630,author_id: 2982661630,coversation_id: 588016340646100992,588016340646100992,2015-04-14T19:43:01.000Z,"[{'start': 0, 'end': 8, 'username': 'IanKerr', 'id': '69269986'}, {'start': 9, 'end': 24, 'username': 'gazaboatconvoy', 'id': '125671954'}, {'start': 25, 'end': 39, 'username': 'WilliamJHague', 'id': '122994639'}]",588064938528215040,id: 588064938528215040,69269986,en,0,1,0,0,"[{'type': 'replied_to', 'id': '588023542123524096'}]",everyone,Twitter for iPhone,@IanKerr @gazaboatconvoy @WilliamJHague &amp; never will be bc they've all got something to hide.,2015-01-17T15:06:43.000Z,"Only ourselves can free our minds. No one rules if no one obeys. Capitalism is a con, austerity is a fraud. Let's give peace a chance.",2982661630,give us some truth,753,1005,22,16010,giveussometruth,False
4,125671954,author_id: 125671954,coversation_id: 588016340646100992,588016340646100992,2015-04-14T19:19:36.000Z,"[{'start': 0, 'end': 8, 'username': 'IanKerr', 'id': '69269986'}, {'start': 9, 'end': 18, 'username': 'InnaMood', 'id': '243545094'}, {'start': 19, 'end': 33, 'username': 'WilliamJHague', 'id': '122994639'}]",588059044423856130,id: 588059044423856130,69269986,en,1,0,0,2,"[{'type': 'replied_to', 'id': '588023542123524096'}]",everyone,Twitter Web Client,"@IanKerr @InnaMood @WilliamJHague He mentioned ""child care""",2010-03-23T14:17:54.000Z,We are a group of driven  individuals working within the UK. We work with many different charities all with the same aim and goal. To FREE PALESTINE!,125671954,Gaza Boat Convoy,2459,2180,166,122326,gazaboatconvoy,False
5,1291058616,author_id: 1291058616,coversation_id: 588016340646100992,588016340646100992,2015-04-14T19:07:26.000Z,"[{'start': 0, 'end': 14, 'username': 'WilliamJHague', 'id': '122994639'}]",588055980904226817,id: 588055980904226817,122994639,en,0,0,0,0,"[{'type': 'replied_to', 'id': '588016340646100992'}]",everyone,Twitter for Android,"@WilliamJHague buying council houses on the cheap, I think we have been there before.",2013-03-23T10:33:22.000Z,Retired Professional Driver,1291058616,Brian Mackin,0,4,1,73,bmackin07,False
6,1552263253,author_id: 1552263253,coversation_id: 588016340646100992,588016340646100992,2015-04-14T18:20:19.000Z,"[{'start': 0, 'end': 14, 'username': 'WilliamJHague', 'id': '122994639'}]",588044124688936961,id: 588044124688936961,122994639,en,0,0,0,0,"[{'type': 'replied_to', 'id': '588016340646100992'}]",everyone,Twitter for iPhone,"@WilliamJHague The only thing Thatcher was right about was when she called you 
""A JOKE""",2013-06-28T04:58:40.000Z,,1552263253,Terry Winder,15,83,0,5589,terry_winder,False
7,20810341,author_id: 20810341,coversation_id: 588016340646100992,588016340646100992,2015-04-14T18:05:51.000Z,"[{'start': 0, 'end': 14, 'username': 'WilliamJHague', 'id': '122994639'}]",588040484389543937,id: 588040484389543937,122994639,en,0,0,0,0,"[{'type': 'replied_to', 'id': '588016340646100992'}]",everyone,Twitter Web Client,@WilliamJHague but try it in rest of country u knobhead,2009-02-13T21:49:31.000Z,unashamed lefty hate Tories snobbery inequality n BBC bias 67 yrs old deaf.lifelong leeds.#mot ex steelworker. shafted by the tories,20810341,dodge,1134,1954,15,13514,sbpjh,False
8,438219085,author_id: 438219085,coversation_id: 588016340646100992,588016340646100992,2015-04-14T17:41:18.000Z,"[{'start': 0, 'end': 14, 'username': 'WilliamJHague', 'id': '122994639'}]",588034304795639808,id: 588034304795639808,122994639,en,0,0,0,0,"[{'type': 'replied_to', 'id': '588016340646100992'}]",everyone,Tweetbot for iΟS,@WilliamJHague we all know how much you’d like to care for children.,2011-12-16T09:57:52.000Z,,438219085,NULL,126,814,5,3243,VanHoopStallion,False
9,141914172,author_id: 141914172,coversation_id: 588016340646100992,588016340646100992,2015-04-14T17:38:37.000Z,"[{'start': 0, 'end': 14, 'username': 'WilliamJHague', 'id': '122994639'}]",588033629722382337,id: 588033629722382337,141914172,en,0,0,0,0,"[{'type': 'replied_to', 'id': '588028819598114816'}]",everyone,Twitter Web Client,"@WilliamJHague don't worry about incriminating yourself Willy, it's only Twitter",2010-05-09T11:39:01.000Z,"I live on a floating thingy. Visit my meth kitchen party. Take me dancing naked in the rain, see how that works for your social media profile. I'm on gettr too",141914172,Lord Sarcastico,929,231,31,45401,lordsarcastico,False
10,141914172,author_id: 141914172,coversation_id: 588016340646100992,588016340646100992,2015-04-14T17:19:30.000Z,"[{'start': 0, 'end': 14, 'username': 'WilliamJHague', 'id': '122994639'}]",588028819598114816,id: 588028819598114816,122994639,en,0,0,1,0,"[{'type': 'replied_to', 'id': '588016340646100992'}]",everyone,Twitter Web Client,@WilliamJHague do they have any views on sexual abuse of children by cabinet ministers Willy?,2010-05-09T11:39:01.000Z,"I live on a floating thingy. Visit my meth kitchen party. Take me dancing naked in the rain, see how that works for your social media profile. I'm on gettr too",141914172,Lord Sarcastico,929,231,31,45401,lordsarcastico,False
11,542029876,author_id: 542029876,coversation_id: 588016340646100992,588016340646100992,2015-04-14T17:32:32.000Z,"[{'start': 0, 'end': 10, 'username': 'Davidbush', 'id': '20013397'}]",588032101204787201,id: 588032101204787201,20013397,en,0,0,1,0,"[{'type': 'replied_to', 'id': '588030022402895874'}]",everyone,Twitter for Android,@Davidbush There are three generations who have not worked. Where do you live?,2012-03-31T22:21:07.000Z,"Multi award winning businessman, social reformer and philanthropist. Views expressed are personal.",542029876,Lord Rami Ranger CBE,9949,2589,82,51459,RamiRanger,False
12,542029876,author_id: 542029876,coversation_id: 588016340646100992,588016340646100992,2015-04-14T17:19:37.000Z,"[{'start': 0, 'end': 10, 'username': 'Davidbush', 'id': '20013397'}]",588028850283614208,id: 588028850283614208,20013397,en,0,0,2,0,"[{'type': 'replied_to', 'id': '588025601153433600'}]",everyone,Twitter for Android,@Davidbush I'm not talking about the week &amp; vulnerables. I am talking about those who expect to be paid more on the dole than being in work.,2012-03-31T22:21:07.000Z,"Multi award winning businessman, social reformer and philanthropist. Views expressed are personal.",542029876,Lord Rami Ranger CBE,9949,2589,82,51459,RamiRanger,False
13,542029876,author_id: 542029876,coversation_id: 588016340646100992,588016340646100992,2015-04-14T17:02:13.000Z,"[{'start': 0, 'end': 10, 'username': 'Davidbush', 'id': '20013397'}]",588024471312801793,id: 588024471312801793,20013397,en,0,0,1,0,"[{'type': 'replied_to', 'id': '588017403596038145'}]",everyone,Twitter for Android,@Davidbush Britain is surging ahead and leaving scroungers behind.,2012-03-31T22:21:07.000Z,"Multi award winning businessman, social reformer and philanthropist. Views expressed are personal.",542029876,Lord Rami Ranger CBE,9949,2589,82,51459,RamiRanger,False
