,author_id,author_id_new,conv_id_new,conversation_id,created_at,entities.mentions,id,id_new,in_reply_to_user_id,lang,public_metrics.like_count,public_metrics.quote_count,public_metrics.reply_count,public_metrics.retweet_count,referenced_tweets,reply_settings,source,text,users.created_at,users.description,users.id,users.name,users.public_metrics.followers_count,users.public_metrics.following_count,users.public_metrics.listed_count,users.public_metrics.tweet_count,users.username,users.verified
0,926531545921400832,author_id: 926531545921400832,coversation_id: 969590301286309888,969590301286309888,2018-05-25T15:58:35.000Z,"[{'start': 0, 'end': 13, 'username': 'DavidDavisMP', 'id': '2797521996'}]",1000043458571227136,id: 1000043458571227136,2797521996,en,0,0,0,0,"[{'type': 'replied_to', 'id': '969590301286309888'}]",everyone,Twitter for Android,@DavidDavisMP When will that be?,2017-11-03T19:28:29.000Z,The struggle continues #NHS,926531545921400832,tressel botnot,368,623,2,21162,tresselbotnot,False
1,896301798084030465,author_id: 896301798084030465,coversation_id: 969590301286309888,969590301286309888,2018-03-29T07:54:22.000Z,"[{'start': 0, 'end': 13, 'username': 'DavidDavisMP', 'id': '2797521996'}]",979265495315681280,id: 979265495315681280,2797521996,en,0,0,0,0,"[{'type': 'replied_to', 'id': '969590301286309888'}]",everyone,Twitter for Android,"@DavidDavisMP Population of UK 66m. Leave voters 17m. So 49m face having their EU citizenship taken away from them by those 17m, many of whom probably had little idea of what their own EU citizenship meant. That deprivation must be one of the biggest injustices ever in Europe - we must fight!",2017-08-12T09:26:15.000Z,"The good thing about Brexit, is it will show what a bad idea it is.",896301798084030465,Paul Newberry #FBPE,1013,1235,11,37284,PaulNewberry8,False
2,20225638,author_id: 20225638,coversation_id: 969590301286309888,969590301286309888,2018-03-14T06:59:36.000Z,"[{'start': 0, 'end': 13, 'username': 'DavidDavisMP', 'id': '2797521996'}, {'start': 14, 'end': 24, 'username': 'ToryDEXEU', 'id': '951446075856048129'}]",973815894408417280,id: 973815894408417280,2797521996,en,0,0,0,0,"[{'type': 'replied_to', 'id': '969590301286309888'}]",everyone,Twitter for iPhone,@DavidDavisMP @ToryDEXEU And yet it’s a totally unrealistic and unachievable vision.  Why are you such an amateur?,2009-02-06T09:36:09.000Z,🇪🇺🇺🇦Metropolitan elite but for some reason I still have to clean my own toilet. #FBPE Brexiters are pathological liars. I will follow back FBPE ASAP,20225638,🇺🇦 🇪🇺 🇬🇧 Клер Адамс 🌻🌻🌻🌻,3692,4999,11,110730,ClareAdams,False
3,958329693467443200,author_id: 958329693467443200,coversation_id: 969590301286309888,969590301286309888,2018-03-08T11:14:18.000Z,"[{'start': 0, 'end': 13, 'username': 'DavidDavisMP', 'id': '2797521996'}]",971705665289891840,id: 971705665289891840,2797521996,en,0,0,0,0,"[{'type': 'replied_to', 'id': '969590301286309888'}]",everyone,Twitter for iPhone,@DavidDavisMP Don’t you dare let the EU carry on abusing our fishing rights. Out means out!,2018-01-30T13:22:58.000Z,Business & Finance Science & Technology Food Cricket Politics,958329693467443200,steve leonard,17,191,3,4760,stevele10088772,False
4,846681435884965889,author_id: 846681435884965889,coversation_id: 969590301286309888,969590301286309888,2018-03-08T10:20:05.000Z,"[{'start': 0, 'end': 13, 'username': 'DavidDavisMP', 'id': '2797521996'}, {'start': 14, 'end': 26, 'username': 'PeterBoneUK', 'id': '871469846'}]",971692018861772802,id: 971692018861772802,2797521996,en,0,0,0,0,"[{'type': 'replied_to', 'id': '969590301286309888'}]",everyone,Twitter for iPad,@DavidDavisMP @PeterBoneUK No more government silence.We are a democracy,2017-03-28T11:12:39.000Z,"European, #FBPE #brexitisdead #THECRIMETHATISBREXIT",846681435884965889,killbrexit FBPE,281,377,0,2222,Yryagain,False
5,512529689,author_id: 512529689,coversation_id: 969590301286309888,969590301286309888,2018-03-07T17:50:02.000Z,"[{'start': 0, 'end': 13, 'username': 'DavidDavisMP', 'id': '2797521996'}]",971442864235442180,id: 971442864235442180,2797521996,en,0,0,0,0,"[{'type': 'replied_to', 'id': '969590301286309888'}]",everyone,Twitter Web App,@DavidDavisMP You missed off stable and that slogan was so last year!!,2012-03-02T22:47:25.000Z,"Pro-remain.

Apologies for spelling mistakes and typos. My phone auto-corrects to the wrong spelling a lot 🤷‍♂️",512529689,David Wilson #FBPE,2684,2805,1,37126,DAWilson246,False
6,99535592,author_id: 99535592,coversation_id: 969590301286309888,969590301286309888,2018-03-07T07:13:49.000Z,"[{'start': 0, 'end': 13, 'username': 'DavidDavisMP', 'id': '2797521996'}]",971282756637462528,id: 971282756637462528,2797521996,en,0,0,0,0,"[{'type': 'replied_to', 'id': '969590301286309888'}]",everyone,Twitter for iPad,@DavidDavisMP LOL and you really think the EU will agree? Lol lol,2009-12-26T16:48:54.000Z,,99535592,tony,16,35,0,4914,tonyh50,False
7,3916607537,author_id: 3916607537,coversation_id: 969590301286309888,969590301286309888,2018-03-06T00:42:34.000Z,"[{'start': 0, 'end': 13, 'username': 'DavidDavisMP', 'id': '2797521996'}]",970821909003886597,id: 970821909003886597,2797521996,en,0,0,0,0,"[{'type': 'replied_to', 'id': '969590301286309888'}]",everyone,Twitter for Android,@DavidDavisMP Oh my goodness. How easily you are all duped into believing the demise of the UK will make it strong and stable!,2015-10-10T08:15:42.000Z,,3916607537,anne hernandez,24,37,0,48,anneher24689583,False
8,31401966,author_id: 31401966,coversation_id: 969590301286309888,969590301286309888,2018-03-04T18:48:49.000Z,"[{'start': 0, 'end': 16, 'username': 'sharonnashupton', 'id': '773619145468440576'}, {'start': 17, 'end': 33, 'username': 'LesleyMillercyp', 'id': '1057645927'}, {'start': 34, 'end': 47, 'username': 'DavidDavisMP', 'id': '2797521996'}, {'start': 48, 'end': 55, 'username': 'Peston', 'id': '14157134'}, {'start': 56, 'end': 68, 'username': 'theresa_may', 'id': '747807250819981312'}]",970370497950224384,id: 970370497950224384,773619145468440576,en,1,0,0,0,"[{'type': 'replied_to', 'id': '969616580744278018'}]",everyone,Twitter Web Client,"@sharonnashupton @LesleyMillercyp @DavidDavisMP @Peston @theresa_may She could not bring herself to answer ""Yes""!: Q: [German journalist] Is Brexit worth it, in the light of what you are saying today?
""if that was a question about whether the UK will think again, it won’t. the people took the decision. It is up to parliament to implement it""",2009-04-15T13:07:15.000Z,"‘the Martian’ (ex interplanetary spaceship pilot). Dad who likes travel, photography, gravel biking, Moto Guzzi from Lewes, E Sussex. No fan of Brexit!",31401966,Jonathan (Joj) Schulster,376,803,12,18219,eberswalde,False
9,956910976502304768,author_id: 956910976502304768,coversation_id: 969590301286309888,969590301286309888,2018-03-04T01:21:17.000Z,"[{'start': 0, 'end': 13, 'username': 'DavidDavisMP', 'id': '2797521996'}]",970106876615684096,id: 970106876615684096,2797521996,en,0,0,0,0,"[{'type': 'replied_to', 'id': '969590301286309888'}]",everyone,Twitter for iPhone,@DavidDavisMP Remoaners if you do not want Brexit vote ship out to Europe stop bloody moaning We can give Housing to people on housing lists that will help the housing crisis and we do not want to listen to your moaning morons!!!,2018-01-26T15:25:30.000Z,Logistics Team at https://t.co/wjVVVMsgwG LTD a very busy Film and Camera Hire Company based in North Acton London and Bristol and VMedia also based in North Acton,956910976502304768,Jay Patel,14,84,0,454,jaypate98757527,False
